Vendor,Domain,Category,Coverage (Assets/Geo),Primary APIs / Endpoints,Free Tier Limits (approx),Next Tier / Pricing (approx),Docs URL,Pricing / Portal URL,Website,MCP Server Availability,Representative MCP Tools,Key Features,Limitations / Caveats,Strengths,Weaknesses,Ideal Use Cases,Licensing / Notes
Polygon.io,Stocks/Multi-Asset,Market Data (Equities/Options/Crypto/FX),US equities & options; some global; crypto & FX support,"Aggregates (OHLCV), Trades, Quotes, Snapshots, News, Ticker Details, Dividends, Splits",~5 req/min free (community); limited credits,From ~$29/mo Pro; higher tiers add sockets & higher RPM,https://polygon.io/docs,https://polygon.io/pricing,https://polygon.io,? Native & community servers,"get_aggregates, get_trades, get_quotes, get_snapshot, get_news, get_dividends, get_splits",Tick-accurate data; corporate actions; options; news feed,Free RPM tight; redistribution may need higher tiers,"High-quality schema, breadth, speed",Free cap restrictive for large universes,"Backtests, nightly EOD append, intraday/event studies",Mind display/redistribution rights per plan
Alpha Vantage,Stocks/FX/Crypto,Indicators + Market Data + Macro,"Global equities, FX, crypto, macro time-series","TIME_SERIES_* (daily/intraday), Technical Indicators (RSI/MACD/BBands), Fundamentals, Econ/Macro",?25 req/day; ~5/min,From ~$49.99/mo; higher RPM tiers,https://www.alphavantage.co/documentation/,https://www.alphavantage.co/premium/,https://www.alphavantage.co,? Official & community servers,"time_series_daily, technical_indicator, fundamentals, macro_series",100+ built-in indicators; macro series; easy JSON,Strict free/day cap; latency varies by endpoint,Great for feature prototyping & macro-aware models,Not tick-grade; daily cap binds fast,"Indicators/macro features, small watchlists EOD",Check commercial display rules
Twelve Data,Stocks/FX/Crypto,Unified Multi-Asset Market Data,Global equities/ETFs/indices + FX + crypto,"time_series, quote, symbols, websocket",8/min (~800/day),Grow ~$29/mo; Pro ~$99/mo; Enterprise higher,https://twelvedata.com/documentation,https://twelvedata.com/pricing,https://twelvedata.com,? Official/community MCP,"time_series, quote, realtime_socket, symbols",Unified schema across assets; realtime & EOD; sockets,Some assets/history gated to paid tiers,Generous free rate; simple endpoints,License/historical depth varies by plan,Global nightly append; multi-asset dashboards,Confirm redistribution for SaaS
Financial Modeling Prep (FMP),Stocks,Fundamentals + Prices,US & international equities,"Income/Balance/Cash Flow, Key Metrics, EOD & historical-price-full, SEC filings",?250 calls/day,~$19–$59+/mo typical developer tiers,https://site.financialmodelingprep.com/developer/docs/,https://site.financialmodelingprep.com/developer/docs/pricing/,https://site.financialmodelingprep.com,?? Community/easy wrapper,"income_statement, balance_sheet, cash_flow, historical_price_full, sec_filings",Deep statements; long history (paid); SEC mirroring,Some endpoints paid; enterprise redistribution extra,Value for fundamentals; straightforward JSON,Docs can be terse on fine-print licensing,Factor models; valuation screens; earnings prep,Mind display rights
Marketstack,Stocks,EOD Market Data (Simple),Global EOD focus,"/eod, /eod/latest (intraday paid)",100 req/month; ~1y history,Basic ~$9.99/mo (10k/mo; 10y history),https://marketstack.com/documentation,https://marketstack.com/pricing,https://marketstack.com,?? Simple wrapper,"eod, eod_latest",Clean EOD endpoints; easy latest-day fetch,Small free monthly cap; intraday behind paid,Low-cost nightly append for small lists,Limited free history/volume,After-close analysis for small universes,Check commercial use terms
MarketData.app,Stocks/Options,US Equities (Delayed on free),US equities; options data,"EOD (free, delayed), intraday/real-time (paid), options",100 daily credits; ~1y history; 24h delay,From ~$12/mo (10k daily credits; 5y history),https://www.marketdata.app/docs/,https://www.marketdata.app/#pricing,https://www.marketdata.app,?? Simple wrapper,"eod, options_chain, intraday (paid)",Very friendly for daily append if 24h delay ok,No real-time on free; options depth gated,"Simple, generous daily credits",Limited coverage breadth vs bigger vendors,Backtests; next-day recommendations,Confirm data display rules
IEX Cloud,Stocks,US Equities Market Data,US equities (IEX & partners),"Prices, reference data, fundamentals, news",Free limited credits,Paid by credits; various tiers,https://iexcloud.io/docs/api/,https://iexcloud.io/pricing/,https://iexcloud.io,?? Community wrappers,"prices, ref_data, news",Mature platform; reference data,Credit model complexity; some datasets extra,"Developer ecosystem, dashboards",Pricing predictability,Prototyping & apps where IEX fits,Display licensing applies
EODHD,Stocks/Crypto,EOD & Intraday + Fundamentals,Global equities; some crypto,"EOD, intraday, fundamentals, options (varies)",~20 calls/day free (typical),From ~$19.99+/mo,https://eodhd.com/financial-apis/,https://eodhd.com/pricing/,https://eodhd.com,?? Community wrappers,"eod, intraday, fundamentals",Strong EOD focus; global coverage,Tight free cap,Good breadth for EOD,Free limits restrictive,Daily append for tiny universes,Check redistribution
Databento,Stocks/Futures,Institutional Historical & Live,US equities & futures (direct exchange feeds),Bulk historical by dataset; live feeds,Pay-as-you-go (per GB),~$0.40/GB+ historical; live billed separately,https://databento.com/docs,https://databento.com/pricing,https://databento.com,?? Custom MCP possible,"download_dataset, stream_feed",Exchange-grade datasets; efficient formats,Costs scale with volume; data handling expertise,Research/backtesting at scale,Non-trivial infra,Institutional backtests; tick-level work,Exchange entitlements apply
Tiingo,Stocks,EOD + Fundamentals + Crypto,US equities; some global; crypto,"tiingo/daily, tiingo/fundamentals, crypto prices",$0 starter (limited); common paid ~$10–$30/mo,$10–$30/mo individual; enterprise plans,https://api.tiingo.com/documentation/,https://api.tiingo.com/,https://www.tiingo.com,?? Community wrappers,"daily_prices, fundamentals",Clean EOD and stable endpoints,Free very limited; TOS strict on redistribution,Quality and simplicity,Coverage narrower than Polygon,Backtests; long-horizon analysis,Mind license
